,country,learn_korean_geo_past5yr
0,Solomon Islands,0.0
1,Northern Mariana Islands,0.0
2,Bhutan,0.0
3,Myanmar (Burma),100.0
4,Nepal,98.0
5,Philippines,94.0
6,Guam,0.0
7,Singapore,76.0
8,Mongolia,69.0
9,Botswana,0.0
10,Brunei,0.0
11,Maldives,0.0
12,Belize,0.0
13,Sri Lanka,55.0
14,Cambodia,50.0
15,Jamaica,47.0
16,Trinidad & Tobago,46.0
17,South Korea,46.0
18,Fiji,0.0
19,St Lucia,0.0
20,Timor-Leste,0.0
21,Malaysia,42.0
22,Ethiopia,39.0
23,New Zealand,35.0
24,Madagascar,0.0
25,Mauritius,0.0
26,Pakistan,34.0
27,Barbados,0.0
28,Guyana,0.0
29,Nigeria,32.0
30,Somalia,0.0
31,Namibia,0.0
32,India,30.0
33,Bahamas,0.0
34,Lesotho,0.0
35,Isle of Man,0.0
36,Australia,26.0
37,Bangladesh,25.0
38,United Arab Emirates,25.0
39,Zimbabwe,0.0
40,South Africa,25.0
41,Qatar,25.0
42,Suriname,0.0
43,United States,25.0
44,Albania,0.0
45,Bahrain,0.0
46,Canada,23.0
47,Georgia,22.0
48,Kenya,22.0
49,Lebanon,21.0
50,Rwanda,0.0
51,Sierra Leone,0.0
52,Hong Kong,19.0
53,St Helena,0.0
54,Laos,0.0
55,United Kingdom,18.0
56,Iceland,0.0
57,Uganda,0.0
58,Uzbekistan,17.0
59,Ghana,17.0
60,Macao,0.0
61,Morocco,15.0
62,Ireland,15.0
63,Afghanistan,0.0
64,Tunisia,15.0
65,Lithuania,15.0
66,Oman,0.0
67,Kuwait,0.0
68,Malawi,0.0
69,Malta,0.0
70,China,0.0
71,North Macedonia,0.0
72,Puerto Rico,0.0
73,Sudan,0.0
74,Papua New Guinea,0.0
75,Luxembourg,0.0
76,Norway,14.0
77,Tanzania,0.0
78,Sweden,13.0
79,Iraq,11.0
80,Armenia,0.0
81,Zambia,0.0
82,Denmark,11.0
83,Libya,0.0
84,Azerbaijan,0.0
85,Turkmenistan,0.0
86,Kosovo,0.0
87,Estonia,0.0
88,Finland,11.0
89,Latvia,0.0
90,Romania,11.0
91,Algeria,11.0
92,Slovenia,0.0
93,Greece,10.0
94,Egypt,10.0
95,Slovakia,10.0
96,Moldova,0.0
97,Vietnam,9.0
98,Hungary,9.0
99,Croatia,9.0
100,Cyprus,0.0
101,Netherlands,9.0
102,Belgium,9.0
103,Portugal,7.0
104,Bulgaria,7.0
105,Czechia,7.0
106,Jordan,0.0
107,Syria,0.0
108,Cameroon,0.0
109,Bosnia & Herzegovina,0.0
110,Saudi Arabia,7.0
111,Switzerland,7.0
112,Serbia,0.0
113,Senegal,0.0
114,Indonesia,6.0
115,Israel,6.0
116,Tajikistan,0.0
117,Yemen,0.0
118,Panama,0.0
119,Honduras,0.0
120,Palestine,0.0
121,Austria,5.0
122,Dominican Republic,0.0
123,Germany,5.0
124,Thailand,5.0
125,Costa Rica,0.0
126,Montenegro,0.0
127,Mozambique,0.0
128,Kyrgyzstan,0.0
129,Poland,3.0
130,Iran,3.0
131,France,3.0
132,Kazakhstan,0.0
133,Côte d’Ivoire,0.0
134,Nicaragua,0.0
135,El Salvador,0.0
136,Mexico,3.0
137,Cuba,0.0
138,Taiwan,2.0
139,Peru,2.0
140,Italy,2.0
141,Chile,2.0
142,Spain,2.0
143,Guatemala,0.0
144,Ecuador,0.0
145,Uruguay,0.0
146,Bolivia,0.0
147,Türkiye,2.0
148,Russia,2.0
149,Colombia,2.0
150,Paraguay,0.0
151,Japan,1.0
152,Brazil,1.0
153,Ukraine,1.0
154,Venezuela,0.0
155,Argentina,1.0
156,Belarus,0.0
157,Bermuda,0.0
158,Mayotte,0.0
159,St Barthélemy,0.0
160,New Caledonia,0.0
161,Niger,0.0
162,Norfolk Island,0.0
163,Martinique,0.0
164,Montserrat,0.0
165,Niue,0.0
166,Mauritania,0.0
167,Bouvet Island,0.0
168,Mali,0.0
169,Nauru,0.0
170,Burkina Faso,0.0
171,Marshall Islands,0.0
172,Caribbean Netherlands,0.0
173,Central African Republic,0.0
174,Pitcairn Islands,0.0
175,Cocos (Keeling) Islands,0.0
176,Benin,0.0
177,Palau,0.0
178,Monaco,0.0
179,St Martin,0.0
180,Liechtenstein,0.0
181,North Korea,0.0
182,Angola,0.0
183,Congo - Kinshasa,0.0
184,Congo - Brazzaville,0.0
185,French Polynesia,0.0
186,Cook Islands,0.0
187,Réunion,0.0
188,St Kitts & Nevis,0.0
189,Kiribati,0.0
190,Burundi,0.0
191,Comoros,0.0
192,Jersey,0.0
193,Cape Verde,0.0
194,British Indian Ocean Territory,0.0
195,South Georgia & South Sandwich Islands,0.0
196,Curaçao,0.0
197,Svalbard & Jan Mayen,0.0
198,Antigua & Barbuda,0.0
199,French Southern Territories,0.0
200,Christmas Island,0.0
201,San Marino,0.0
202,Antarctica,0.0
203,St Pierre & Miquelon,0.0
204,Haiti,0.0
205,South Sudan,0.0
206,São Tomé & Príncipe,0.0
207,American Samoa,0.0
208,Heard & McDonald Islands,0.0
209,Cayman Islands,0.0
210,French Guiana,0.0
211,Eswatini,0.0
212,Sint Maarten,0.0
213,Seychelles,0.0
214,Greenland,0.0
215,Turks & Caicos Islands,0.0
216,Chad,0.0
217,Togo,0.0
218,Grenada,0.0
219,Equatorial Guinea,0.0
220,Tokelau,0.0
221,Guinea-Bissau,0.0
222,Gambia,0.0
223,Tonga,0.0
224,Guadeloupe,0.0
225,Guinea,0.0
226,Gibraltar,0.0
227,Tuvalu,0.0
228,Guernsey,0.0
229,Djibouti,0.0
230,Andorra,0.0
231,Dominica,0.0
232,US Outlying Islands,0.0
233,Gabon,0.0
234,Åland Islands,0.0
235,Anguilla,0.0
236,Vatican City,0.0
237,St Vincent & the Grenadines,0.0
238,Micronesia,0.0
239,British Virgin Islands,0.0
240,US Virgin Islands,0.0
241,Faroe Islands,0.0
242,Vanuatu,0.0
243,Wallis & Futuna,0.0
244,Samoa,0.0
245,Falkland Islands (Islas Malvinas),0.0
246,Western Sahara,0.0
247,Liberia,0.0
248,Eritrea,0.0
249,Aruba,0.0
